Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,BLR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.76086957,5.187817259,75.95571292,16.88006062,11.52012886,12.17146907,20.18054264,15.10311745,15.01445182,11.44061677,12.33668601,,,6.570220588,6.644401832,8.909260816,10.65663437,19.18518401,18.90524573,39.41681084,24.42931342,23.83729556,24.54872626,37.59817806,39.9601531,
Belize,BLZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06343058,28.64348021,32.96017224,35.32653131,37.1674973,36.31089024,38.83228731,,,,,,67.26891379,87.99892324,103.9908947,92.2030343,87.65900628,84.73942668,78.79586313,82.00437972,80.16789903,76.87422294,74.4804701,77.15615629,76.58594418,,,
Bermuda,BMU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.17172396,57.41137921,47.88280637,46.53650552,47.07519229,56.25758275,60.10919786,68.33985226,,,,,,,,,,,,,,,,
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.95235586,62.45168367,60.65593027,63.80782753,61.31878046,59.3416583,59.84949,57.22840938,58.45727111,67.53755403,73.53727615,
Barbados,BRB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.51818114,61.93907898,69.04645599,73.91362388,87.49595838,97.1910915,100.1773967,111.6533784,122.1711798,132.10481,145.7743228,,
Brunei Darussalam,BRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18801925,47.4653513,45.48048856,39.332421,32.93920123,27.08988149,36.29984685,30.74087472,29.96926626,34.39074131,39.12591,69.94740572,56.3689652,68.78928502,75.23594875,79.53391715,74.88323694,62.79525431,60.41025501,56.77631368,54.88296067,62.5299588,72.51567422,96.13924675,90.65144907,91.44626341,107.9924755,
Botswana,BWA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37110325,12.11680206,12.53215057,12.44505995,12.04239764,10.97207607,11.15675555,,,,,,,,,,5.893609614,5.74118725,7.847308973,18.97311647,21.63068854,20.30543895,19.5844496,18.21242967,17.44535971,17.90922055,15.23324193,
Central African Republic,CAF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
